9,63
10,77
11,84
12,96
13,104
14,120
15,128
16,142
17,155
18,167
19,180
20,194
21,203
2,6
3,13
4,22
5,37
6,46
7,50
8,60
9,70
10,84
11,94
12,107
13,116
14,133
15,143
16,157
17,138
18,151
19,162
20,176
21,183
2,6
3,11
4,18
5,25
6,32
7,40
8,48
9,55
10,67
11,74
12,85
13,92
14,105
15,115
16,125
17,139
18,147
19,164
20,175
21,181
2,6
3,11
4,19
5,24
6,33
7,40
8,48
9,55
10,66
11,74
12,86
13,93
14,84
15,87
16,97
17,104
18,115
19,125
20,133
21,140
2,4
3,8
4,14
5,19
6,25
7,30
8,49
9,37
10,44
11,50
12,57
