16,54
17,61
18,71
19,77
20,85
21,93
22,101
23,110
24,106
25,116
26,124
27,134
28,144
29,154
30,165
31,176
32,168
33,178
34,191
35,203
36,215
37,205
38,216
39,228
40,189
41,198
42,207
43,218
44,227
45,222
46,232
47,245
48,252
49,247
50,256
51,266
52,261
53,270
54,265
55,275
56,285
57,280
58,290
59,299
60,172
61,179
62,184
63,166
64,171
65,177
66,183
67,228
68,194
69,200
70,206
71,211
72,217
73,224
74,230
75,236
76,243
77,249
78,256
79,262
80,269
81,277
82,285
83,290
84,294
85,303
86,310
87,317
88,325
89,332
90,337
91,344
92,355
93,363
94,372
95,380
96,389
97,395
98,424
99,411
100,420
101,429
102,438
103,447
104,454
105,463
106,472
107,482
108,490
109,500
110,509
111,520
112,527
113,535
114,545
115,555
116,564
117,574
118,580
119,597
120,649
121,616
122,621
123,635
124,647
125,657
126,663
127,676
128,688
129,833
130,711
131,718
132,727
133,742
134,751
135,796
136,774
137,788
138,802
139,810
140,824
141,829
142,842
143,861
144,915
145,881
146,894
147,910
148,917
149,930
150,936
151,950
152,988
153,984
154,994
155,1002
156,1021
157,1028
158,1038
159,1051
160,1072
161,1089
162,1114
163,1115
164,1130
165,1135
166,1168
167,1170
168,1446
169,1191
170,1204
171,1226
172,1241
173,1256
174,1269
175,1277
176,1298
177,1314
178,1322
179,1334
180,1349
181,1368
182,1380
183,1404
184,1414
185,1426
186,1442
187,1455
188,1481
189,1519
190,1504
191,1522
192,1546
193,1565
194,1570
195,1586
196,1599
197,1616
198,1674
199,1659
